Student_ID,Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100)
S1000,84,30,36,7,3,72
S1001,91,24,38,6,3,56
S1002,73,29,26,7,3,56
S1003,80,36,35,7,3,74
S1004,84,31,37,8,3,66
S1005,100,34,34,7,3,79
S1006,96,40,36,8,3,83
S1007,83,39,37,7,3,77
S1008,91,30,37,8,2,71
S1009,87,27,37,8,3,61
S1010,77,34,25,7,2,54
S1011,78,26,28,6,3,53
S1012,77,27,29,7,3,53
S1013,84,28,34,9,3,55
S1014,86,38,33,8,3,65
S1015,71,28,29,7,3,53
S1016,94,34,36,8,3,75
S1017,85,29,36,7,2,69
S1018,84,36,34,8,3,74
S1019,82,35,29,7,3,66
S1020,98,40,40,9,4,92
S1021,83,27,35,7,2,52
S1022,84,26,35,8,3,54
S1023,91,35,32,7,3,67
S1024,85,35,26,6,3,52
S1025,91,37,37,8,2,77
S1026,86,39,30,7,3,71
S1027,86,31,27,7,2,56
S1028,95,40,33,9,3,80
S1029,85,25,36,7,3,65
S1030,78,25,33,7,3,56
S1031,75,31,35,7,3,60
S1032,85,34,35,8,4,73
S1033,77,33,29,7,2,64
S1034,91,40,36,9,4,81
S1035,87,33,33,8,3,69
S1036,83,32,26,7,4,70
S1037,80,29,36,6,3,54
S1038,84,31,31,7,3,58
S1039,90,39,40,10,3,88
S1040,92,34,39,8,3,74
S1041,75,31,24,8,2,55
S1042,100,36,39,7,4,85
S1043,80,31,31,9,2,59
S1044,76,33,30,7,3,59
S1045,97,38,33,7,3,79
S1046,95,40,36,7,3,84
S1047,92,35,40,9,3,85
S1048,80,34,28,8,4,60
S1049,94,29,30,7,3,64
S1050,84,33,31,8,3,67
S1051,74,31,32,6,2,51
S1052,80,28,32,8,2,61
S1053,75,34,30,9,3,71
S1054,92,36,37,9,3,77
S1055,94,33,35,7,4,70
S1056,77,33,31,8,3,62
S1057,84,39,31,8,3,76
S1058,88,29,38,8,3,63
S1059,76,33,37,8,3,73
S1060,93,38,23,8,3,65
S1061,77,25,30,7,4,58
S1062,74,29,33,7,3,57
S1063,78,26,27,7,2,48
S1064,82,36,38,8,3,77
S1065,78,36,27,8,3,51
S1066,95,37,34,8,2,63
S1067,85,39,40,10,3,75
S1068,74,25,31,6,3,58
S1069,88,38,31,7,3,78
S1070,74,21,31,6,3,44
S1071,97,36,30,8,3,71
S1072,75,31,26,7,2,58
S1073,81,35,35,8,3,73
S1074,87,31,34,8,4,66
S1075,79,30,28,6,3,60
S1076,77,33,32,6,3,65
S1077,87,28,32,6,3,66
S1078,73,33,29,7,3,61
